epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1092.84,1.72467,9.16003,2.10816,0.39832,0.54451,0.45993,0.21461,1.75969,9.7954,2.27729,0.004918,0.004918,0.004918
79,1106.61,1.6823,9.04718,2.09911,0.43848,0.42478,0.41568,0.17108,1.88459,10.6796,2.39702,0.004852,0.004852,0.004852
80,1120.3,1.6667,8.98397,2.07403,0.38139,0.39125,0.34387,0.13536,2.07959,12.7055,2.62559,0.004786,0.004786,0.004786
81,1133.9,1.67318,9.04324,2.09893,0.42062,0.58204,0.50294,0.23278,1.74148,9.37922,2.26921,0.00472,0.00472,0.00472
82,1147.81,1.65949,9.09664,2.0905,0.36844,0.54986,0.43185,0.20417,1.72154,9.55561,2.28553,0.004654,0.004654,0.004654
83,1161.38,1.71485,9.33678,2.10728,0.38923,0.50362,0.42512,0.17143,1.89978,10.7369,2.40778,0.004588,0.004588,0.004588
84,1174.99,1.66942,9.05437,2.08253,0.33142,0.49586,0.36027,0.15939,1.86307,11.0098,2.38709,0.004522,0.004522,0.004522
85,1188.56,1.66928,9.03418,2.07127,0.43017,0.51332,0.45344,0.22113,1.75857,9.8044,2.27567,0.004456,0.004456,0.004456
86,1202.13,1.67949,8.86156,2.0709,0.44771,0.58057,0.50635,0.23759,1.70588,9.34365,2.22456,0.00439,0.00439,0.00439
87,1216.79,1.65522,8.8666,2.06224,0.36292,0.46017,0.34463,0.12991,2.22423,12.0148,2.71114,0.004324,0.004324,0.004324
88,1230.47,1.65457,8.70236,2.04808,0.41808,0.56039,0.44831,0.20324,1.82754,9.86408,2.29266,0.004258,0.004258,0.004258
89,1244.01,1.62742,8.52993,2.01032,0.45367,0.5489,0.49002,0.2303,1.72447,9.34575,2.22599,0.004192,0.004192,0.004192
90,1257.69,1.61429,8.45651,2.04065,0.47139,0.52899,0.47415,0.22647,1.72374,9.15287,2.21703,0.004126,0.004126,0.004126
91,1271.36,1.61568,8.55452,2.00578,0.34789,0.48378,0.41524,0.20857,1.7094,9.43149,2.2068,0.00406,0.00406,0.00406
92,1284.98,1.64946,9.05231,2.03119,0.39498,0.47349,0.44895,0.2062,1.77383,9.69269,2.29376,0.003994,0.003994,0.003994
93,1298.56,1.60535,8.78793,2.01821,0.4198,0.50311,0.4456,0.23174,1.68615,9.75082,2.17898,0.003928,0.003928,0.003928
94,1312.2,1.64501,8.67666,2.03759,0.44433,0.55072,0.51408,0.26374,1.6338,8.81583,2.15993,0.003862,0.003862,0.003862
95,1326,1.60115,8.46486,1.97705,0.51024,0.5509,0.49448,0.24873,1.64054,9.16269,2.16301,0.003796,0.003796,0.003796
96,1339.68,1.61486,8.39949,1.97974,0.46871,0.4843,0.46582,0.22308,1.71787,9.27285,2.18842,0.00373,0.00373,0.00373
97,1353.25,1.58062,8.12434,1.96749,0.36827,0.51691,0.47327,0.23621,1.65482,8.87888,2.15162,0.003664,0.003664,0.003664
98,1366.88,1.61362,8.56941,1.99427,0.4772,0.50111,0.45171,0.21794,1.72774,9.48648,2.23429,0.003598,0.003598,0.003598
99,1380.41,1.57953,8.13481,1.9689,0.46537,0.50914,0.45053,0.21769,1.72397,9.90015,2.2484,0.003532,0.003532,0.003532
100,1393.99,1.56369,8.28715,1.94287,0.46663,0.56435,0.49215,0.23364,1.77629,9.68163,2.29628,0.003466,0.003466,0.003466
101,1407.19,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0034,0.0034,0.0034
102,1422.09,1.5743,8.17095,1.96651,0,0,0,0,nan,nan,nan,0.003334,0.003334,0.003334
103,1435.37,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003268,0.003268,0.003268
104,1448.65,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003202,0.003202,0.003202
105,1461.82,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003136,0.003136,0.003136
106,1475.05,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00307,0.00307,0.00307
107,1488.25,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003004,0.003004,0.003004
108,1501.89,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002938,0.002938,0.002938
109,1515.12,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002872,0.002872,0.002872
110,1528.42,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002806,0.002806,0.002806
111,1541.66,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00274,0.00274,0.00274
112,1555.16,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002674,0.002674,0.002674
113,1568.35,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002608,0.002608,0.002608
114,1581.62,1.88871,43.6642,2.51706,0,0,0,0,nan,nan,nan,0.002542,0.002542,0.002542
115,1594.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002476,0.002476,0.002476
116,1608.01,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00241,0.00241,0.00241
117,1621.19,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002344,0.002344,0.002344
118,1634.44,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002278,0.002278,0.002278
119,1647.66,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002212,0.002212,0.002212
120,1660.95,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002146,0.002146,0.002146
121,1674.22,1.83915,42.8173,2.51106,0,0,0,0,nan,nan,nan,0.00208,0.00208,0.00208
122,1687.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002014,0.002014,0.002014
123,1700.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001948,0.001948,0.001948
124,1714.24,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001882,0.001882,0.001882
